Country Name,Population: total(1960),Population: total(1970),Population: total(1980),Population: total(1990),Population: total(2000),Population: total(2005),Population: total(2006),Population: total(2007),Population: total(2008),Population: total(2009),Population: total(2010),Population: total(2011),Population: total(2012),Population: total(2013),Population: total(2014),Population: total(2015),Population: total(2016),Population: total(2017)
Aruba,54211,59063,60096,62149,90853,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822,105264
Afghanistan,8996351,11126123,13248370,12249114,20093756,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081
Angola,5643182,6776381,8929900,12171441,16440924,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193
Albania,1608800,2135479,2671997,3286542,3089027,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Andorra,13411,24276,36067,54509,65390,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965
Arab World,92490932,122398374,165689490,224735446,283832016,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690,414491886
United Arab Emirates,92634,235499,1042384,1860174,3154925,4579562,5242032,6044067,6894278,7666393,8270684,8672475,8900453,9006263,9070867,9154302,9269612,9400145
Argentina,20619075,23973058,28105888,32729739,37057452,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041
Armenia,1874120,2525065,3099751,3538165,3069588,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450
American Samoa,20013,27292,32457,47038,57521,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641
Antigua and Barbuda,55339,67098,73442,66696,83584,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012
Australia,10276477,12507000,14692000,17065100,19153000,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933
Austria,7047539,7467086,7549433,7677850,8011566,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212
Azerbaijan,3895396,5180025,6150738,7159000,8048600,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429
Burundi,2786106,3455606,4116817,5415415,6400706,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245
Belgium,9153489,9655549,9859242,9967379,10251250,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068
Benin,2431622,2912340,3717165,4978496,6865951,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692
Burkina Faso,4829288,5624600,6822843,8811034,11607942,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382
Bangladesh,48199747,65047770,81470860,106188642,131581243,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751
Bulgaria,7867374,8489574,8861535,8718289,8170172,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075991
Bahrain,162427,212605,359888,495931,664614,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584
"Bahamas, The",109528,169354,210661,256336,297890,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361
Bosnia and Herz.,3225668,3760527,4179855,4463422,3766706,3781530,3779468,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017
Belarus,8198000,9040000,9643000,10189000,9979610,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875
Belize,92064,122182,144155,187552,247315,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954,374681
Bermuda,44400,55000,54670,59326,61833,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,65341,65441
Bolivia,3693449,4505778,5589575,6856244,8339512,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600
Brazil,72207554,95326793,121159761,149352145,175287587,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865,209288278
Barbados,230939,238848,252194,260374,269847,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996,285719
Brunei Darussalam,81745,129583,193949,258785,333241,365158,370250,374864,379252,383772,388662,394013,399748,405716,411704,417542,423196,428697
Bhutan,223288,298301,409172,537280,573416,656639,672228,686958,700950,714458,727641,740510,752967,764961,776448,787386,797765,807610
Botswana,524552,695597,1001158,1377912,1728340,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661
Central African Rep.,1503508,1828709,2279821,2939780,3754986,4127910,4201758,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080
Canada,17909009,21324000,24593000,27791000,30769700,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35152370,35535348,35832513,36264604,36708083
